,Health Facility Name,Address,street,landmark,locality,pincode,landline_number,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Block_Name
0,PHC Astgaon,Astgaon,Gavthan,Near New English School,Rahata,423107.0,2423245585,19.671119,74.50299,0.0,Primary Health Centre,Maharashtra,Ahmadnagar,Rahta,Rahata
1,PHC Dadh Bk,Dadh Bk,Ashwi Road,Near Mahatma Phule Jr. Collage,,413714.0,2422270031,19.524707,74.418898,0.0,Primary Health Centre,Maharashtra,Ahmadnagar,Rahta,Rahata
2,PHC Dorhale,Primary Health Center,Dorhale,Near Jape Vasti,Pohegaon Road,423604.0,,19.761988,74.426923,0.0,Primary Health Centre,Maharashtra,Ahmadnagar,Rahta,Rahata
3,PHC Kolhar Bk,Primary Health Center,Gavthan,Bhagwati Mata Mandir Road,,413710.0,2422250259,19.539133,74.53401099999999,0.0,Primary Health Centre,Maharashtra,Ahmadnagar,Rahta,Rahata
4,PHC Savalivihir Bk,Primary Health Center,Gavthan,Rui Road,Near High School,423109.0,2423251210,19.802984,74.47027,0.0,Primary Health Centre,Maharashtra,Ahmadnagar,Rahta,Rahata
5,PHC Wakadi,Primary Health Center,Gavthan,Shrirampur Road,,413719.0,2422256300,19.684575,74.576411,0.0,Primary Health Centre,Maharashtra,Ahmadnagar,Rahta,Rahata
6,RH Rahata,Rural Hospital Rahata,Nagar Manmad Highway,,,423107.0,2423242212,19.707969,74.47999300000001,0.0,Community Health Center,Maharashtra,Ahmadnagar,Rahta,Rahata
7,RH Loni,Rural Hospital Loni,Songaon Road,Near Mhasoba Mandir,,413736.0,2422273449,19.576612,74.467664,0.0,Community Health Center,Maharashtra,Ahmadnagar,Rahta,Rahata
8,RH Puntamba,Rural Hospital Puntamba,Gavthan,Near Sant Goroba Temple,,413707.0,2422274016,19.766435,74.616186,0.0,Community Health Center,Maharashtra,Ahmadnagar,Rahta,Rahata
9,Kasola,Primary Health Centre Kasola,Kasola,Zillha Parishad School,Mangrulpir,444403.0,,20.215253,77.294533,0.0,Primary Health Centre,Maharashtra,Washim *,Mangrulpir,Mangrulpir
10,PHC Ambada,Primary Health Centre Ambada,Ambada,PHC AMBADA,PHC AMBADA,444905.0,07228 234023,21.3353283,78.28391859999999,366.0,Primary Health Centre,Maharashtra,Amravati,Morshi,Morshi
11,DHADHARE,SubCenter,"AT- DHADHARE, POST- SONALE, TAL- WADA",NEAR ZP SCHOOL,DHADHARE,421303.0,,19.669871399999998,73.253378,190.0,SubCentre,Maharashtra,Palghar,Vada,\N
12,Subcentre Astgaon,Subcentre Astgaon,Gavthan,Near High School,,423104.0,,20.316926000000002,74.49,0.0,SubCentre,Maharashtra,Ahmadnagar,Rahta,Rahata
13,Subcentre Rajuri,Subcentre Rajuri,Gavthan,Near High School,,413737.0,,19.62377,74.540584,0.0,SubCentre,Maharashtra,Ahmadnagar,Rahta,Rahata
14,RH Soundad,At.Post.Soundad Tah.Sadak Arjuni Dist.Gondia,National Highwe 6,On Road,At.Post.Soundad Tah.Sadak Arjuni Dist.Gondia,441806.0,7182270449,21.071121899999998,80.088959,256.0,Community Health Center,Maharashtra,Gondiya *,Sadak-Arjuni,Sadak Arjuni
15,RH Soundad,At.Post.Soundad Tah.Sadak Arjuni Dist.Gondia,At.Post.Soundad Tah.Sadak Arjuni Dist.Gondia,NH 6,At.Post.Soundad Tah.Sadak Arjuni Dist.Gondia,441806.0,7182270449,21.071121899999998,80.088959,213.0,Community Health Center,Maharashtra,Gondiya *,Sadak-Arjuni,Sadak Arjuni
16,GAIKWAD JALGAON,SUBCENTER GAIKWAD JALGAON,GAVTHAN,NEAR MANDIR,,414504.0,9921822237,19.312945000000003,75.533066,0.0,SubCentre,Maharashtra,Ahmadnagar,Shevgaon,Shevgaon
17,Kothari,Primary Health Centre Kothari,Arvi Road,Near Bus Stop,Ballarpur,442701.0,07172-244139,19.790994,79.495547,0.0,Primary Health Centre,Maharashtra,Chandrapur,Ballarpur,Ballarpur
18,RH Soundad,,,,,,,0.0,0.0,0.0,Community Health Center,Maharashtra,Gondiya *,\N,\N
19,Kothari,Sub Centre Kothari,Arvi Road,Near Bus Stop,Ballarpur,442701.0,,19.790994,79.495547,0.0,SubCentre,Maharashtra,Chandrapur,Ballarpur,Ballarpur
20,Palasgaon,Sub Centre Palasgaon,Enbodi Road,Near Zilla Parishad School,Ballarpur,442701.0,,19.804632,79.462282,0.0,SubCentre,Maharashtra,Chandrapur,Ballarpur,Ballarpur
21,Manora,Sub Centre Manora,Kavadasi Road,"In front of Grampanchayat, Manora",Ballarpur,442701.0,,19.865994,79.49180799999999,0.0,SubCentre,Maharashtra,Chandrapur,Ballarpur,Ballarpur
22,"District Hospital, Nanded",Infront of Waghala Muncipal Nanded,Vazirabad,Near Shivaji Maharaj Statue,Nanded,431601.0,02462-245516,19.154756,77.311493,0.0,District Hospital,Maharashtra,Nanded,Nanded,Nanded
23,cottage hospital Neknoor,cottage hospital Neknoor,Kaij Road Neknoor,,Kaij Road Neknoor,431125.0,02442-250016,18.8067164,75.7807525,0.0,Community Health Center,Maharashtra,Beed,Bid,Bid
24,VVMC Moregaon Talav,UPHC Moregaon Talav,Virar Moregaon Raod,Moregaon Talav,Moregaon,401209.0,,19.4333064,72.82305140000001,19.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
25,VVMC Bolinj,UPHC  Bolinj,Virar Garden,: Talathi Office,Virar Garden,401303.0,,19.444074,72.79983100000001,0.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
26,VVMC Zalawad,UPHC  ZALAWAD,"ZALAWAD PARK, URBAN PRIMARY  HEALTH CENTER, GROUND FLOOR.","JAYA PALACE HOTEL, ZALAWAD GARDEN","SANYUKTA NAGAR, NALASOPARA EAST",401209.0,,19.413320199999998,72.824735,19.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
27,VVMC Naringi,UPHC Naringi Park & Urban Primary Health Center,Naringi By-pass Rd. Virar (East),opposite Hotel Rainbow Palace,Naringi By-pass Rd. Virar (East),401305.0,,19.474314399999997,72.8144829,17.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
28,VVMC Ranale Talao,UPHC Ranale Talao,Manvel Pada,Ranale Talao,"Manvel pada, Bhushan Hospital",401303.0,,19.448928600000002,72.81767559999999,20.0,Post Partum Unit,Maharashtra,Palghar,\N,\N
29,VVMC Sarvoday vasahat,UPHC Sarvodaya Vasahat,Taki Road,Near vvcmc Water Tank,"Tulinj ,Taki Road",401209.0,,19.4224517,72.819722,18.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
30,VVMC Patankar park,Patankar Park,Chakradhar Nagar,"Ryan international school, Hari Hareshwar Mandir",Nallasopara west,401203.0,,19.419325100000002,72.8109184,19.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
31,VVMC Barhampur,Barampur west urban Primary Health Center,Barampur west Rd,Near Sai Baba Temple,"Hum Panch Wadi, Barampur, Vasai West",401102.0,,19.3659578,72.8153033,18.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
32,VVMC Bilalpada,Bilalpada Urban Primary Health Center,"Nallasopara - High way Road, Bilalpada",Near Shri Ram Mandir,Bilalpada  Nallasopara (e),401208.0,,19.4267082,72.8440229,17.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
33,VVMC Navghar Vasai,Vasai Industrial OPD,Navghar (East),near Onida company,Navghar East,401210.0,,19.3492218,72.9110974,16.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
34,UCHC Vijaynagar Tulinj Municipal Hospital,Vijaynagar Tulinj Municipal Hospital,Tulinj Road,opp.sitara bekary,NALLASOPARA(E),401409.0,,19.423448399999998,72.8265995,18.0,Urban Health Posts,Maharashtra,Palghar,\N,\N
35,VVMC Vijay Nagar Tulinj Hospital,Vijaynagar Tulinj Municipal Hospital,Tulinj Road,opp.sitara bekary,NALLASOPARA(E),401409.0,,19.423448399999998,72.8265995,18.0,Community Health Center,Maharashtra,Palghar,Vasai,\N
36,VVMC Sativali,UPHC Sativali urban primary health center,"Sativali ,  vasai (E)",in front Of Shivsena office,"Sativali,  vasai (E)",401208.0,,19.4069099,72.8663021,19.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
37,Borgaon,Borgaon Sub Center,"at post Borgaon,","Tq Jafrabad ,dist Jalna.431206",Borgaon,431206.0,,20.07441205,75.93766193,0.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
38,Janefal,Janefal subcenter,"at post Janefal,","Tq Jafrabad ,dist Jalna.431206",Janefal,431206.0,,20.26071498,75.98738871,502.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
39,Yeota,Yeota Sub Center,"Yeota,","Tq Jafrabad ,dist Jalna.431206",Yeota,431206.0,,0.0,0.0,0.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
40,Javkheda,Javkheda Sub Center,"At Post Javkheda,","Tq Jafrabad ,dist Jalna.431206",Javkheda,431206.0,,20.26071498,75.98738871,502.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
41,Dongaon,Dongaon Sub Center,"at post Dongaon,","Tq Jafrabad ,dist Jalna.431208",Dongaon,431208.0,,20.029924800000003,75.92874524,502.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
42,Nandkheda,Nandkheda Sub Center,"at post Nandkheda,","Tq Jafrabad ,dist Jalna.431208",Nandkheda,431208.0,,0.0,0.0,0.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
43,Akoladev,Akola dev Sub Center,"At Post Akoladev,","Tq Jafrabad ,dist Jalna.431208",Akoladev,431208.0,,20.07441205,75.93766193,0.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
44,Tondoli,Tondoli Sub Center,"At Post Tondoli ,","Tq Jafrabad ,dist Jalna.431208",Tondoli,431208.0,Na,0.0,0.0,0.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
45,Ambegaon,Ambegaon Sub Center,At Post  Ambegaon,"Tq Jafrabad ,dist Jalna.431208",Ambegaon,431208.0,Na,20.07441205,75.93766193,502.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
46,Delegavhan,Delegavhan Sub Center,At Post Delegavhan,"Tq Jafrabad ,dist Jalna.431208",Delegavhan,431208.0,Na,20.07441205,75.93766193,502.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
47,KumbharZari,Kumbharzari Sub Center,"At Post Kumbharzari ,","Tq Jafrabad ,dist Jalna.431208",Kumbharzari,431208.0,,20.26071498,75.98738871,502.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
48,Khasgaon,Khasgaon Sub Center,"at post Khasgaon,","Tq Jafrabad ,dist Jalna.431206",Khasgaon,431206.0,,20.26319186,76.05557477,502.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
49,Kumbhari,Kumbhari Sub Center,"At Post Kumbhari,","Tq Jafrabad ,dist Jalna.431206",Kumbhari,431206.0,Na,20.26071498,75.98738871,502.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
50,Jafrabad,Jafrabad Sub Center,"At Post Jafrabad ,","Tq Jafrabad ,dist Jalna.431206",Jafrabad,431206.0,,20.07441205,75.93766193,502.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
51,Hiwrakabli,Hiwrakabli Sub Center,"At Post Hiwrakabli,","Tq Jafrabad ,dist Jalna.431206",Hiwrakabli,431206.0,,20.26071498,75.98738871,502.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
52,Deulzari,Deulzari Sub Center,At Post Deulzari,"Tq Jafrabad ,dist Jalna.431206",Deulzari,431206.0,,20.07441205,75.93766193,502.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
53,Warud Bk.,Warud Bk Sub Center,"At Post Warud bk.,","Tq Jafrabad ,dist Jalna.431206",Warud Bk.,431206.0,,20.26071498,75.98738871,502.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
54,Adha,Adha Sub Center,"At Post Adha,","Tq Jafrabad ,dist Jalna.431206",Adha,431206.0,,0.0,0.0,0.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
55,Sipora,Sipora Sub Center,At Post Sipora,"Tq Jafrabad ,dist Jalna.431206",Sipora,431206.0,,0.0,0.0,0.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
56,Bharaj Bk.,Bharaj Bk. Sub Center,At Post Bharaj Bk.,"Tq Jafrabad  ,dist Jalna.431206",Bharaj Bk.,431206.0,,20.26071498,75.98738871,502.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
57,KDMC Disp 1 Saleh Mohammad,"Grnd Floor, Saleh Mohammad Dawakhana",Ansari Chowk,Nr. Ansari Chowk police station,Kalyan West,421301.0,,19.241781200000002,73.1247103,15.0,Dispensaries,Maharashtra,Thane,Kalyan,Kalyan
58,KDMC Disp 2 Geeta Harkisandas,Geeta Harkisan Dawakhana,Narvir Tanaji Chowk,Near Canara Bank,Kolsewadi East,421306.0,,19.231524,73.136436,14.0,Dispensaries,Maharashtra,Thane,Kalyan,Kalyan
59,KDMC Disp 3 Manda Titwala,Manda Dawakhana,Railway station,Nr. Marathi School,"Manda, Titwala West",421306.0,,19.296743399999997,73.20416259999999,17.0,Dispensaries,Maharashtra,Thane,Kalyan,Kalyan
60,KDMC  Netivali,Netivali Dispensary,Netivali Naka,"Behind Big Bazar, Nr. KDMC School,",Tisgaon,421306.0,,19.2274572,73.1239121,14.0,Dispensaries,Maharashtra,Thane,Kalyan,Kalyan
61,primary health centre kavalapur,1,varcha bus stop,Maharashtra (27),kavalapur,416306.0,2332364258,16.919977199999998,74.61333459999999,56.0,Primary Health Centre,Maharashtra,Sangli,Miraj,Miraj
62,sub centre bisur,1,near zilla parishad school,water tank,bisur,416304.0,,16.924365100000003,74.5844061,563.0,SubCentre,Maharashtra,Sangli,Miraj,Miraj
63,sub centre budhgaon 1,1,vanvaswadi,near postoffice,budhgaon,416410.0,,16.908042899999998,74.5961207,564.0,SubCentre,Maharashtra,Sangli,Miraj,Miraj
64,sub centre budhgaon 2,Subcenter Budgaon,near allo disp,post office,budhgaon,416410.0,0233-2364258,16.908042899999998,74.5961207,564.0,SubCentre,Maharashtra,Sangli,Miraj,Miraj
65,subcentre kavalapu1,1,varcha bus stop kavalapur,khani javal,kavalapur,416306.0,,16.91919977,74.61333459999999,56.0,SubCentre,Maharashtra,Sangli,Miraj,Miraj
66,subcentre kavalapur2,1,varcha bus stop,khani javal,kavalapur,416306.0,,16.919977199999998,74.61333459999999,56.0,SubCentre,Maharashtra,Sangli,Miraj,Miraj
67,sub centre  kharkatwadi,1,near gram panchayat,grampanchayat,kharkatwadi,416306.0,,16.9348395,74.6649277,964.0,SubCentre,Maharashtra,Sangli,Miraj,Miraj
68,sub centre  kharkatwadi,1,near gram panchayat,grampanchayat,kharkatwadi,416306.0,,16.919607,74.67224590000001,627.0,SubCentre,Maharashtra,Sangli,Miraj,Miraj
69,subcentre sambarwadi,Sub Center SAMBERWADI,dhulgaon road,dhulgaon road,sambarwadi,416306.0,,16.9348395,74.6649277,594.0,SubCentre,Maharashtra,Sangli,Miraj,Miraj
70,subcentre bamnoli,1,post office,post office,near post office,416436.0,,16.872346899999997,74.61975100000001,579.0,SubCentre,Maharashtra,Sangli,Miraj,Miraj
71,Taka Ground,Taka Ground,Back to Bus Stop,Near Gov Librery,"Dangaripura,Hinganghat",442301.0,7153245992,20.55321,78.841449,0.0,Urban Health Posts,Maharashtra,Wardha,Hinganghat,Hinganghat
72,SUB CENTER MALEGAON,SUB CENTER MALEGAON,AT POST MALEGAON,NEAR AGANWADI CENTER,MALEGAON,422203.0,,20.56221,74.51051,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
73,Chinch Ohol,SUB CENTER CHINCHOHOL,AT POST CHINCHOHOL,IN VILLAGE NEAR DIDAVIPADA,Chinch Ohol,422204.0,,20.090120000000002,73.40229000000001,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
74,deodongari,SUB CENTER DEODONGARI,AT POST DEVDONGARI,NEAR GRAM PANCHYAT OFFICE,deodongari,422204.0,,20.1022,73.1751,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
75,Chinch Ohol,PRIMARY HEALTH CENTER CHINCHOHOL,AT POST BORIPADA,BORIPADA NEAR PRIMARY HIGH SCHOOL,Chinch Ohol,422204.0,,20.1018,73.2207,0.0,Primary Health Centre,Maharashtra,Nashik,Trimbakeshwar,\N
76,Deodongara,SUB CENTER DEODONGARA,AT POST DEVDONGARI,NEAR GRAM PANCHYAT OFFICE OUT OF VILLAGE,Deodongara,422204.0,,20.09011,73.40228,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
77,Samundi,SUB CENTER SAMUNDI,AT POST SAMUNDI,IN VILLAGE NEAR HIGH SCHOOL,Samundi,422212.0,,19.88551,73.53366,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
78,Rohile,SUB CENTER ROHILE,AT POST ROHILE,IN PHC COMPOUND,Rohile,422203.0,,19.88549,73.53364,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
79,Mulvad,PRIMARY HEALTH CENTER MULVAD,AT POST MULVAD,NEAR GADAGE MAHARAJ ASHRAMSHALA,Mulvad,422204.0,,20.051,73.1821,0.0,Primary Health Centre,Maharashtra,Nashik,Trimbakeshwar,\N
80,Murambi,SUB CENTER MURAMBI,AT POST MURAMBI,NEAR GOVERTMENT ASHRAMSHALA,Murambi,422204.0,,20.0415,73.2239,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
81,Vadholi,SUB CENTER VADHOLI,AT POST VADHOLI,IN VILLAGE NEAR GRAM PANCYHAYAT OFFICE,Vadholi,422213.0,,19.5612,73.3328,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
82,Bhilmal,SUB CENTER BHILMAL,AT POST BHILMAL,NEAR BHILMAL GAON,Bhilmal,422212.0,,19.5404,73.3244,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
83,Zarwad bk,SUB CENTER ZARWAD BK,AT POST ZARWAD BK,IN VILLAGE NEAR ZARWAD VILLAGE,Zarwad bk,422215.0,,19.8855,73.53365,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
84,Torangan Trambak,SUB CENTER TORANGAON TRAMBAK,AT POST TORANGAN TRIMBAK,NEAR TORANGAON GAON,Torangan Trambak,422215.0,,19.88552,73.53367,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
85,Thanapada,SUB CENTER THANAPADA,AT POST THANAPADA,IN VILLAGE NEAR THANAPADA GAON,Thanapada,422204.0,,20.0715,73.2346,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
86,Chourapada,SUB CENTER CHOURAPADA,AT POST CHOURAPADA,NEAR VALAN ROAD,Chourapada,422204.0,,20.0509,73.1735,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
87,Amboli,SUB CENTER AMBOLI,AT POST AMBOLI,IN PHC BULDING,Amboli,422212.0,,19.5842,73.2912,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
88,Harsul,SUB CENTER HARSUL,AT POST HARSUL,IN PRIMARY HIGH SCHOOL,Harsul,422204.0,,20.09009,73.40226,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
89,Shirasgaon,PRIMARY HEALTH CENTER SHIRASHGAON,AT POST SHIRASHGAON,NEAR GRAMPANCHYAT OFFICE,Shirasgaon,422204.0,,20.096429999999998,73.88403000000001,0.0,Primary Health Centre,Maharashtra,Nashik,Trimbakeshwar,\N
90,Shirasgaon,SUB CENTER SHIRASHGAON,AT POST SHIRASHGAON,NEAR KHARADPADA KHALCHA,Shirasgaon,422204.0,,20.096429999999998,73.88403000000001,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
91,Alwand,SUB CENTER ALWAND,AT POST ALWAND,NEAR AGANWADI CENTER,Alwand,422215.0,,19.88549,73.53364,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
92,Kharwal,SUB CENTER KHARAWAL,AT POST KHARWAL,MULGAON NEAR TRIMBAK-KHARWAL ROAD,Kharwal,422204.0,,20.0901,73.40227,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
93,Saraste,SUB CENTER SARASTE,AT POST SARATE,NEAR KULWANDI ROAD IN VILLAGE,Saraste,422204.0,,20.0722,73.3008,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
94,Vaghera,SUB CENTER VAGHERA,AT POST VAGHERA,NEAR HARSUL TRIMBAK ROAD,Vaghera,422203.0,,19.73761,73.5498,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
95,Vaviharsha,SUB CENTER VAVIHARSHA,AT POST VAVIHARSHA,IN VILLAGE NEAR AGANWADI CENTER,Vaviharsha,422214.0,,19.4855,73.2857,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
96,Chinchwad,SUB CENTER CHINCHWAD,AT POST CHINCHWAD,NEAR AGANWADI CENTER,Chinchwad,422204.0,,20.0615,73.2838,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
97,Berwal,SUB CENTER BERWAL,AT POST BERWAL,NEAR AGANWADI CENTER,Berwal,422204.0,,20.09009,73.40226,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
98,Sapgaon,SUB CENTER SAPGAON,AT POST SAPGAON,IN VILLAGE NEAR SCHOOL,Sapgaon,422215.0,,19.5732,73.3033,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
99,Take Deogaon,SUB CENTER TAKE DEOGAON,AT POST TAKE DEOGAON,IN VILLAGE NEAR GRAM PANCYHAYAT OFFICE,Take Deogaon,422214.0,,19.4732,73.2746,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
100,Amboli,PRIMARY HEALTH CENTER AMBOLI,AT POST AMBOLI,IN VILLAGE NEAR HIGH SCHOOL,Amboli,422212.0,,19.88549,73.53364,0.0,Primary Health Centre,Maharashtra,Nashik,Trimbakeshwar,\N
101,RH Harusul,RURAL HOSPITAL HARSUL,AT POST HARSUL,IN VILLAGE NEAR HIGH SCHOOL,Harusul,422204.0,,20.0658,73.2715,0.0,Community Health Center,Maharashtra,Nashik,Trimbakeshwar,\N
102,Mulvad,SUB CENTER MULVAD,AT POST MULVAD,IN PHC BULDING,Mulvad,422204.0,,20.0513,73.1821,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
103,Pmpri Trimbak,SUB CENTER PIMPRI TRIMBAK,AT POST PIMPRI TRIMBAK,NEAR PIMPRI ROAD,Pmpri Trimbak,422203.0,,20.0042,73.3321,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
104,Gavatha,SUB CENTER GAVATHA,AT POST GAVTHA,NEAR AGANWADI CENTER,Gavatha,422204.0,,20.0337,73.2318,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
105,RH Trimbak,RURAL HOSPITAL TRIMBAK,AT POST TRIMBAK,NEAR PANCHYAT SAMITEE OFFICE,Trimbak,422211.0,,19.5601,73.3156,0.0,Community Health Center,Maharashtra,Nashik,Trimbakeshwar,\N
106,Anjanneri,SUB CENTER ANJANNERI,AT POST ANJANNERI,NEAR HANUMAN TEMPLE,Anjanneri,422213.0,,19.99885,73.53121,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
107,Rohile,PRIMARY HEALTH CENTER ROHILE,AT POST ROHILE,NEAR GIRNARE TRIMBAK ROAD,Rohile,422203.0,,19.7376,73.54979,0.0,Primary Health Centre,Maharashtra,Nashik,Trimbakeshwar,\N
108,Thanapada,PRIMARY HEALTH CENTER THANAPADA,AT POST THANAPADA,NEAR VADPADA IN VILLAGE,Thanapada,422204.0,,20.0715,73.2346,0.0,Primary Health Centre,Maharashtra,Nashik,Trimbakeshwar,\N
109,Kharshet,SUB CENTER KHARSET,AT POST KHARSET,NEAR AGANWADI CENTER,Kharshet,422204.0,,20.09011,73.40228,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
110,Talwade,SUB CENTER TALWADE,AT POST TALWADE,IN VILLAGE NEAR SCHOOL,Talwade,422212.0,,19.5819,73.3319,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
111,Kalamuste,SUB CENTER KALAMUSTE,AT POST KALMUSTE,NEAR GRAM PANCHYAT OFFICE,,422204.0,,20.09011,73.40228,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
112,Vele,SUB CENTER VELE,AT POST VELE,NEAR AGANWADI CENTER,Vele,422203.0,,20.0543,73.3255,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
113,Ozar Khed,SUB CENTER OZARKHED,AT POST OZARKHED,NEAR ZILLA PARISHAD SCHOOL,Ozar Khed,422204.0,,20.244320000000002,73.81662,0.0,SubCentre,Maharashtra,Nashik,Trimbakeshwar,\N
114,Khasgaon,khasgaon phc,"at post Khasgaon, sindhi road ,tq jafrabad,dist Jalna",phc khsgaon,khasgaon,431206.0,,20.07441205,75.93766193,502.0,Primary Health Centre,Maharashtra,Jalna,Jafferabad,Jafrabad
115,Mahora,Phc Mahora,"At post  Mahora,tq.Jafrabad,dist.Jalna",Nr Grampanchayat mahora,Mahora,431206.0,2485225233,0.0,0.0,0.0,Primary Health Centre,Maharashtra,Jalna,Jafferabad,Jafrabad
116,Dongaon,PHC DONGAON,"At Post  Dongaon,Asarkheda road ,tq.jafrabad,dist jalna.",Phc Dongaon,Dongaon,431208.0,,20.25921469,76.1306815,502.0,Primary Health Centre,Maharashtra,Jalna,Jafferabad,Jafrabad
117,warud bk.,PHC WARUD BK.,"At Post Warud bk.,,tq.jafrabad,dist.jalna",PHC WARUD,Warud Bk.,431206.0,2485221245,20.26071498,75.98738871,0.0,Primary Health Centre,Maharashtra,Jalna,Jafferabad,Jafrabad
118,Azad Nagar Dispensary,S.No.224,Azad Nagar Road,Near old Azad Nagar Police Station,Guruwar Ward,423203.0,,20.5428,74.5318,0.0,Dispensaries,Maharashtra,Nashik,Nashik,Nashik
119,MMC TB Dispensary,S.No.24/2,Beside Raheemi Masjid,Opposite Amman Hospital,Tashqand Baug,423203.0,,20.5542,74.5419,0.0,Primary Health Centre,Maharashtra,Nashik,Malegaon,Malegaon
120,MMC Kusumba Road Dispensary,S.No.144/1,Kusumba Road,Corporation Dispensary,Kusumba Road,423203.0,,20.5578,74.53399999999999,0.0,Primary Health Centre,Maharashtra,Nashik,Malegaon,Malegaon
121,Torkheda 2,Sub Center Torkheda 2,,,Villege,425452.0,,21.416667,74.666667,0.0,SubCentre,Maharashtra,Nandurbar,Shahade,Shahada
122,MMC Azad Nagar Dispensary,S.No.224,Azad Nagar Road,Near old Azad Nagar Police Station,Guruwar Ward,423203.0,,20.5428,74.5381,0.0,Dispensaries,Maharashtra,Nashik,Malegaon,Malegaon
123,PCMC-Bijlinagar Dispensary,Room No. 1,PCMC Building,Near MSEB Office,"Bijlinagar, Chinchwad",411033.0,,18.641271,73.77409300000001,580.0,Primary Health Centre,Maharashtra,Pune,Pune City,Pune City
124,PCMC-Kiwle Dispensary,--,---,Near PCMC School,Kiwle,412101.0,,18.672742,73.730384,580.0,Primary Health Centre,Maharashtra,Pune,Pune City,Pune City
125,PCMC-Mhetrewasti Dispensary,--,--,Near PCMC School & Police Chowki,Mhetrewasti,412114.0,,18.669812,73.794382,585.0,Primary Health Centre,Maharashtra,Pune,Pune City,Pune City
