,Health Facility Name,Address,street,landmark,locality,pincode,landline_number,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Block_Name
9685,Delwadi,Sc Delwadi,Pach marg Pathrali,Near Police Station,Palghar,401502.0,,19.8394642,72.71168,43.0,SubCentre,Maharashtra,Palghar,Palghar,\N
9686,Marul tarf Patan,\N,\N,,Marul tarf Patan,415206.0,,17.359855,73.831446,0.0,SubCentre,Maharashtra,Satara,Patan,Patan
9687,Adgaon,Health Sub Centre Adgaon,Adgaon,,,444905.0,,21.2936,78.058,0.0,SubCentre,Maharashtra,Amravati,Morshi,Morshi
9688,Bhilgaon,subcenter bhilgaon,subcenter bhilgaon,subcenter bhilgaon,subcenter bhilgaon,431805.0,,19.719343,78.28823100000001,0.0,SubCentre,Maharashtra,Nanded,Kinwat,Kinwat
9689,Lahan,Subcenter Building,Lahan,Lahan,Lahan,431704.0,,19.2809776,77.4630225,0.0,SubCentre,Maharashtra,Nanded,Ardhapur,Ardhapur
9690,Chanekuppi,subcenter chanekuppi,Main Road,zp dispensary,,416502.0,,16.22,74.34,0.0,SubCentre,Maharashtra,Kolhapur,Gadhinglaj,Gadhinglaj
9691,Dipti Signal UPHC,Dipti Signal RCH HP Center,Dipti Signal RCH HP,Dipti Signal RCH HP,Nagpur,440035.0,,21.1458,79.088155,0.0,Urban Health Posts,Maharashtra,Nagpur,Nagpur (Urban),\N
9692,Shelu Khadse,Sub Centre Shelu Khadse,Shelu Khadse,Anganwadi Center,Risod,444506.0,,19.983006,76.70075200000001,0.0,SubCentre,Maharashtra,Washim *,Risod,Risod
9693,Babrekar Nagar RCH2 HP,Babarekar Nagar,Charkop Sector -I,"Near Municipal School,","Charkop, Kandivali ( W)",400067.0,,19.2052,72.8244,0.0,Primary Health Centre,Maharashtra,Mumbai (Suburban) *,\N,\N
9694,Mahalor,UNSURVIED GAAVTHAN,,NEAR MAHALOR PRIMARY SCHOOL,MAHALOR,402401.0,,18.3512432,73.01508631,257.0,SubCentre,Maharashtra,Raigarh,Murud,Murud
9695,Dhapewada,Primary Health Center Dhapewada,Dhapewada,Behind Bus Stand,Dhapewada,441501.0,,21.298956,78.853201,0.0,Primary Health Centre,Maharashtra,Nagpur,Kalameshwar,Kalmeshwar
9696,umarsara1,,,Near Three Photo,,445002.0,,20.366702,78.119382,0.0,SubCentre,Maharashtra,Yavatmal,Yavatmal,yavatmal
9697,Salai,Subcenter Salai,Salai,Thru Mansar to Mehandi rod,Salai,441105.0,,21.420583999999998,79.180601,0.0,SubCentre,Maharashtra,Nagpur,Parseoni,Parshivani
9698,Pudiyal Mohada,Subcenter Pudiyal Mohda,Main Road,Near Anganwadi,Pudiyal Mohada,442908.0,07173-258004,19.5987236,79.0334288,0.0,SubCentre,Maharashtra,Chandrapur,Jiwati,Jiwati
